14707,county|BR.5936,facility|5936,Akasi HSC,facility_type|HSC
12282,county|BR.6285,facility|6285,Akaua HSC,facility_type|HSC
17529,county|BR.5970,facility|5970,Akauini HSC,facility_type|HSC
8860,county|BR.5960,facility|5960,Akauna Amas HSC,facility_type|HSC
15797,county|BR.6036,facility|6036,Akauna APHC,facility_type|APHC
8105,county|BR.5904,facility|5904,Akauna Goh HSC,facility_type|HSC
12777,county|BR.5911,facility|5911,Akauna HSC,facility_type|HSC
7382,county|BR.5924,facility|5924,Akauna Silao HSC,facility_type|HSC
8031,county|BR.5895,facility|5895,Akauni HSC,facility_type|HSC
16553,county|BR.5908,facility|5908,Akaunna APHC,facility_type|APHC
16513,county|BR.6194,facility|6194,Akaur APHC,facility_type|APHC
16641,county|BR.6389,facility|6389,Akauunaa APHC,facility_type|APHC
16156,county|BR.6201,facility|6201,Akbaarpur APHC,facility_type|APHC
6688,county|BR.6048,facility|6048,Akbar Malahi HSC,facility_type|HSC
15200,county|BR.5860,facility|5860,Akbarnagar - B HSC,facility_type|HSC
16295,county|BR.5860,facility|5860,Akbarnagar APHC,facility_type|APHC
15216,county|BR.5860,facility|5860,Akbarnagar HSC,facility_type|HSC
12004,county|BR.6340,facility|6340,Akbarpur Chalis HSC,facility_type|HSC
7199,county|BR.5869,facility|5869,Akbarpur Hilsa HSC,facility_type|HSC
14369,county|BR.6201,facility|6201,Akbarpur HSC,facility_type|HSC
9775,county|BR.6015,facility|6015,Akbarpur Kalyanpur HSC,facility_type|HSC
14070,county|BR.6370,facility|6370,Akbarpur Musahari HSC,facility_type|HSC
12724,county|BR.5906,facility|5906,Akbarpur Naubatpur HSC,facility_type|HSC
16549,county|BR.5901,facility|5901,Akbarpurr APHC,facility_type|APHC
16334,county|BR.5816,facility|5816,Akbarpuur APHC,facility_type|APHC
17637,county|BR.5978,facility|5978,Akdara HSC,facility_type|HSC
11773,county|BR.6332,facility|6332,Akha HSC,facility_type|HSC
12007,county|BR.6340,facility|6340,Akhakurha HSC,facility_type|HSC
11134,county|BR.5787,facility|5787,Akhani HSC,facility_type|HSC
17897,county|BR.6150,facility|6150,Akhari HSC,facility_type|HSC
15181,county|BR.6452,facility|6452,Akhata HSC,facility_type|HSC
11452,county|BR.5833,facility|5833,Akhgaon HSC,facility_type|HSC
10959,county|BR.5781,facility|5781,Akhlaspur HSC,facility_type|HSC
16494,county|BR.6285,facility|6285,Akhnaur   APHC,facility_type|APHC
8145,county|BR.5949,facility|5949,Akhodha HSC,facility_type|HSC
10475,county|BR.6247,facility|6247,Akholi HSC,facility_type|HSC
15777,county|BR.6020,facility|6020,Akhtiyarpur APHC,facility_type|APHC
11822,county|BR.6337,facility|6337,Akhtiyarpur Begusarai HSC,facility_type|HSC
13967,county|BR.6366,facility|6366,Akhtiyarpur HSC,facility_type|HSC
6843,county|BR.6018,facility|6018,Akhtiyarpur Mahua HSC,facility_type|HSC
9885,county|BR.6020,facility|6020,Akhtiyarpur(Aphc) HSC,facility_type|HSC
18027,county|BR.6261,facility|6261,Akhtwara HSC,facility_type|HSC
12146,county|BR.6290,facility|6290,Akhwari HSC,facility_type|HSC
13241,county|BR.6236,facility|6236,Akilpur HSC,facility_type|HSC
12350,county|BR.6158,facility|6158,Akna HSC,facility_type|HSC
16473,county|BR.6411,facility|6411,Ako APHC,facility_type|APHC
12237,county|BR.6411,facility|6411,Ako HSC,facility_type|HSC
12312,county|BR.6285,facility|6285,Akora HSC,facility_type|HSC
14646,county|BR.5896,facility|5896,Akorhi HSC,facility_type|HSC
11111,county|BR.5779,facility|5779,Akorhi Ramgarh HSC,facility_type|HSC
10993,county|BR.5776,facility|5776,Akorih HSC,facility_type|HSC
7974,county|BR.6350,facility|6350,Akouna HSC,facility_type|HSC
12354,county|BR.6158,facility|6158,Akrampur HSC,facility_type|HSC
